,Agent Name,Agent Address,Agent City,FY 21  Net Sales,FY 20 Net Sales,FY 19 Net Sales,FY 18 Net Sales,FY 17 Net Sales
3618,SALON 2000,80 E WASHINGTON ST,N ATTLEBORO,"$12,631.00","$13,907.50","$12,631.00","$7,803.00","$7,758.50"
3619,SAM FOOD STORE - NE VALERO,120S WASHINGTON ST,N ATTLEBORO,"$2,089,694.25","$1,876,723.75","$2,089,694.25","$1,946,244.00","$1,291,401.50"
3620,SHAWS 1412,125 TONER BLVD,N ATTLEBORO,"$446,844.75","$432,303.50","$446,844.75","$482,676.00","$435,917.00"
3621,SPEEDWAY #2474,154 N WASHINGTON ST,N ATTLEBORO,"$326,755.25","$641,426.50","$326,755.25","$295,638.25","$315,077.00"
3622,SPEEDWAY #2506,788 E WASHINGTON ST,N ATTLEBORO,"$148,526.50","$185,266.00","$148,526.50","$137,208.50","$104,252.00"
3623,STEVENS MARKET,205 SMITH ST,N ATTLEBORO,"$1,695,228.00","$1,787,792.25","$1,695,228.00","$1,324,374.00","$1,297,542.25"
3624,STOP & SHOP #490,206 E WASHINGTON ST,N ATTLEBORO,"$899,826.00","$947,138.00","$899,826.00","$893,644.75","$797,724.00"
3625,TRIBORO GULF,55 ROBERT TONER BLVD,N ATTLEBORO,"$845,534.00","$915,218.50","$845,534.00","$777,666.25","$661,240.50"
3626,7-ELEVEN 32481-B,314 BOSTON RD,N BILLERICA,"$3,262,218.50","$3,163,662.75","$3,262,218.50","$3,175,926.00","$2,659,540.00"
3627,BILLERICA LIQUORS,247 BOSTON ROAD,N BILLERICA,"$295,359.25","$416,409.00","$295,359.25","$239,758.50","$213,860.50"
3628,BILLERICA MOOSE LODGE #2648,104 BOSTON ROAD,N BILLERICA,"$517,209.50","$271,347.50","$517,209.50","$478,665.50","$393,741.00"
3629,CUMBERLAND #3493,301 BOSTON RD,N BILLERICA,"$483,880.75","$576,792.50","$483,880.75","$492,587.75","$603,959.50"
3630,GARRISON'S,303 BOSTON RD,N BILLERICA,"$1,237,821.25","$1,202,192.00","$1,237,821.25","$1,089,539.25","$1,041,196.00"
3631,KELLY'S IRON HORSE LIQUORS,134 POLLARD ST,N BILLERICA,"$705,937.00","$962,067.75","$705,937.00","$573,630.00","$436,968.25"
3632,LINCOLN LIQUORS,199 BOSTON ROAD # 3,N BILLERICA,"$286,533.50","$279,771.25","$286,533.50","$267,575.50","$250,686.50"
3633,MARKET BASKET #44,199 BOSTON ROAD,N BILLERICA,"$869,028.75","$746,389.00","$869,028.75","$837,263.25","$707,679.25"
3634,RICHDALE,161 BOSTON ROAD,N BILLERICA,"$3,598,810.50","$3,908,434.25","$3,598,810.50","$3,091,694.00","$2,686,575.25"
3635,SPEEDWAY #2452,192 BOSTON RD,N BILLERICA,"$379,798.25","$596,847.25","$379,798.25","$395,928.50","$428,506.50"
3636,VARIETY PLUS,135 NASHUA RD,N BILLERICA,"$781,814.25","$583,370.50","$781,814.25","$826,827.00","$855,018.75"
3637,VFW SOLOMON POST,12 PHINEY ST,N BILLERICA,"$755,277.25","$352,508.50","$755,277.25","$840,927.50","$935,354.50"
3638,WEST BILLERICA LIQUORS,135A NASHUA RD,N BILLERICA,"$445,055.00","$405,525.00","$445,055.00","$411,580.75","$445,690.75"
3639,WULOON MING REST,8 CHELMSFORD RD,N BILLERICA,"$1,218,147.50","$631,087.50","$1,218,147.50","$1,319,673.25","$1,383,783.50"
3640,HANNAFORD #8011,5 GILBERT ST,N BROOKFIELD,"$317,762.75","$183,113.75","$317,762.75","$322,760.50","$374,486.50"
3641,STILL HARTS CAFE,47 FOREST ST,N BROOKFIELD,"$551,125.75","$890,111.00","$551,125.75","$501,069.00","$393,154.00"
3642,AMERICAN LEGION 313,90 GROTON RD,N CHELMSFORD,"$427,224.00","$462,739.50","$427,224.00","$520,204.50","$526,306.00"
3643,KASTORE RESTAURANT & LOUNGE,100 TYNGSBORO ROAD,N CHELMSFORD,"$839,160.00","$1,264,916.75","$839,160.00","$891,173.50","$66,869.00"
3644,PETRO PLUS CHELMSFORD,188 PRINCETON ST,N CHELMSFORD,"$1,496,687.25","$2,295,822.00","$1,496,687.25","$1,396,573.00","$1,355,062.75"
3645,PRINCETON STATION,147 PRINCETON ST,N CHELMSFORD,"$1,306,305.00","$1,338,834.00","$1,306,305.00","$1,380,622.00","$1,463,857.50"
3646,TRIANGLE STORE & DELI,148 GROTON RD,N CHELMSFORD,"$417,675.75","$466,387.50","$417,675.75","$349,427.50","$242,895.25"
3647,VINAL SQ CRAFT BEER & PREMIUM,11 VINAL SQ,N CHELMSFORD,"$83,182.75","$42,396.25","$83,182.75","$57,660.00","$8,584.50"
3648,BJ'S WHOLESALE #23,460 STATE RD,N DARTMOUTH,"$115,980.00","$66,039.75","$115,980.00","$157,153.50","$160,288.00"
3649,C & S VARIETY,659 FAUNCE CORNER RD,N DARTMOUTH,"$495,842.25","$632,206.25","$495,842.25","$498,095.75","$419,884.50"
3650,NO DARTMOUTH SHELL,831 STATE RPAD,N DARTMOUTH,"$186,205.25","$283,046.75","$186,205.25","$224,204.25","$195,910.00"
3651,SPEEDWAY #2476,91 FAUNCE CORNER RD,N DARTMOUTH,"$382,731.00","$511,538.75","$382,731.00","$344,235.50","$309,941.25"
3652,44 LIQUORS,2035 WINTHROP ST,N DIGHTON,"$59,639.25","$244,092.25","$59,639.25","$59,571.00","$66,466.25"
3653,MOBIL,1995 WINTHROP ST,N DIGHTON,"$539,812.00","$250,382.25","$539,812.00","$527,340.75","$456,162.50"
3654,THE NEW FAST MART,420 SOMERSET AVE,N DIGHTON,"$494,010.00","$633,862.50","$494,010.00","$441,388.50","$449,621.50"
3655,EASTHAM SHELL,4565 STATE HWY,N EASTHAM,"$253,103.50","$398,543.50","$253,103.50","$225,005.25","$249,063.25"
3656,VILLAGE GREEN GENERAL STORE,50 BRACKET RD     #4,N EASTHAM,"$981,114.50","$1,247,907.00","$981,114.50","$837,448.00","$709,985.00"
3657,ROCHE BROS #116,25 WASHINGTON ST,N EASTON,"$625,019.25","$459,445.00","$625,019.25","$648,253.75","$649,637.75"
3658,SUNDELLS,76 MAIN STREET,N EASTON,"$241,350.75","$284,588.00","$241,350.75","$192,516.25","$92,322.00"
3659,UNION VILLA,190 WASHINGTON ST,N EASTON,"$780,727.00","$609,937.25","$780,727.00","$786,946.25","$815,424.25"
3660,HOLLY PARK VARIETY,580-A NO FALMOUTH,N FALMOUTH,"$349,214.25","$420,028.75","$349,214.25","$372,934.50","$299,492.50"
3661,VILLAGE PANTRY,372 N FALMOUTH HWY,N FALMOUTH,"$998,580.50","$1,521,459.75","$998,580.50","$996,149.50","$911,438.00"
3662,CUMBERLAND #6746,217 WORCESTER ST,N GRAFTON,"$1,186,766.50","$1,012,514.00","$1,186,766.50","$1,102,749.50","$1,105,280.00"
3663,FIVE STAR LIQUORS,197 WORCESTER ST,N GRAFTON,"$362,536.50","$442,401.50","$362,536.50","$333,188.25","$291,079.25"
3664,GRAFTON PIZZA,204 WORCESTER STREET #4,N GRAFTON,"$138,342.50","$144,643.00","$138,342.50","$91,833.25","$82,377.00"
3665,LAKE RIPPLE XTRA MART,87 WORCESTER RD,N GRAFTON,"$1,459,328.00","$1,419,188.50","$1,459,328.00","$1,570,900.75","$1,441,709.50"
3666,NEW ULTRAMART CONVENIENCE,215 WORCESTER STREET,N GRAFTON,"$611,661.50","$1,238,026.75","$611,661.50","$611,941.00","$554,000.25"
3667,OLD POST OFFICE PUB,1 RAY ST,N GRAFTON,"$667,118.50","$1,696,368.50","$667,118.50","$665,061.75","$658,891.00"
3668,THE HATFIELD PUB,312 WEST ST,N HATFIELD,"$342,873.75","$28,717.25","$342,873.75","$301,759.25","$309,954.50"
3669,CUMBERLAND #0203,200 SOUTHBRIDGE RD,N OXFORD,"$1,053,267.25","$1,076,747.50","$1,053,267.25","$1,093,855.25","$1,057,653.00"
3670,MEIJA ASIAN CUISINE,24 LEICESTER ST,N OXFORD,"$430,750.25","$632,243.00","$430,750.25","$377,555.00","$314,933.50"
3671,NO OXFORD XTRA MART,93 SOUTHBRIDGE RD,N OXFORD,"$733,376.25","$604,526.00","$733,376.25","$671,685.25","$676,467.00"
3672,OXFORD MARKET,676 NORTH MAIN STREET,N OXFORD,"$293,820.75","$337,497.50","$293,820.75","$307,264.50","$32,221.25"
3673,PERIWINKLES PUB & RESTAURANT,206 SOUTHBRIDGE ST,N OXFORD,"$1,048,455.50","$854,452.50","$1,048,455.50","$1,211,504.50","$1,061,391.50"
3674,PINE RIDGE COUNTRY CLUB,28 PLEASANT ST,N OXFORD,"$317,274.50","$115,989.50","$317,274.50","$367,433.00","$310,236.50"
3675,7-ELEVEN 37465,751 E SQUANTUM ST,N QUINCY,"$1,533,771.75","$1,632,219.00","$1,533,771.75","$1,362,767.75","$1,038,357.00"
3676,ATLANTIC MARKET & LIQUOR,243-247 ATLANTIC ST,N QUINCY,"$1,112,463.25","$987,800.25","$1,112,463.25","$1,038,209.00","$808,138.50"
3677,BEST WESTERN ADAMS INN,29 HANCOCK STREET,N QUINCY,"$242,161.50","$71,588.25","$242,161.50","$238,779.75","$263,167.25"
3678,CADDY MARINE CORP LEAGUE,111 NEWBURY AVENUE,N QUINCY,"$172,999.00","$38,468.50","$172,999.00","$235,210.00","$235,726.00"
3679,DANNY'S HARDWARE,53 BILLINGS ROAD,N QUINCY,"$316,211.25","$741,582.25","$316,211.25","$255,588.25","$182,906.00"
3680,MULLANEY'S VARIETY,205 W SQUANTUM ST,N QUINCY,"$1,660,550.25","$360,128.75","$1,660,550.25","$1,637,036.00","$1,665,838.75"
3681,REAGLE BEAGLE LIQUORS,385 HANCOCK ST,N QUINCY,"$301,690.50","$270,657.00","$301,690.50","$315,394.25","$235,102.50"
3682,ROBERT I NICKERSON POST,20 MOON ISLAND ROAD,N QUINCY,"$184,096.50","$209,872.50","$184,096.50","$232,972.00","$251,099.50"
3683,SAMS VARIETY,125 BILLINGS RD,N QUINCY,"$2,965,902.75","$2,952,538.00","$2,965,902.75","$2,912,344.75","$2,613,036.50"
3684,SOUTH SHORE CHECK CASH,416 HANCOCK ST,N QUINCY,"$29,906.75","$1,376.50","$29,906.75","$39,850.00","$48,903.50"
3685,SPEEDWAY #2510,238 HANCOCK ST,N QUINCY,"$947,125.75","$806,876.75","$947,125.75","$882,615.25","$730,494.50"
3686,STOP & SHOP #020,65 NEWPORT AVE,N QUINCY,"$1,925,335.25","$1,745,910.50","$1,925,335.25","$1,988,088.50","$1,955,123.25"
3687,THE CHANTEY AT MARINA BAY,333 VICTORY RD,N QUINCY,"$411,175.00","$187,403.50","$411,175.00","$417,094.75","$401,783.75"
3688,THE IRISH PUB,51 BILLINGS RD,N QUINCY,"$915,636.00","$534,839.75","$915,636.00","$965,103.00","$1,086,317.00"
3689,7-ELEVEN 30238-C,237 MAIN ST,N READING,"$2,100,072.50","$2,162,650.50","$2,100,072.50","$1,893,850.00","$2,094,800.75"
3690,CONVENIENCE PLUS,7 MAIN ST,N READING,"$2,326,191.50","$2,760,185.75","$2,326,191.50","$2,398,519.25","$2,448,254.00"
3691,KITTY'S RESTAURANT,123 MAIN ST,N READING,"$2,804,899.00","$2,995,603.75","$2,804,899.00","$3,422,368.50","$3,530,818.00"
3692,N READING LODGE OF MOOSE,140 NORTH STREET,N READING,"$347,742.00","$176,123.00","$347,742.00","$393,395.25","$541,496.50"
3693,NEW ENGLAND BEVERAGE,160 MAIN ST,N READING,"$197,319.00","$88,690.00","$197,319.00","$167,293.50","$156,703.00"
3694,NEW ENGLAND BEVERAGE,160 MAIN ST,N READING,"$197,319.00","$129,083.50","$197,319.00","$167,293.50","$156,703.00"
3695,ONE STOP LIQUORS,265 MAIN ST-UNIT #2,N READING,"$176,826.25","$206,516.00","$176,826.25","$165,616.00","$176,178.50"
3696,RT 28 LUCKY MART,202 NORTH STREET,N READING,"$2,518,590.00","$2,752,824.50","$2,518,590.00","$2,431,066.75","$1,273,135.25"
3697,RYERS STORE,162 PARK STREET,N READING,"$326,510.50","$252,583.25","$326,510.50","$269,234.25","$273,621.25"
3698,SPEEDWAY #2418,231 MAIN ST,N READING,"$451,440.00","$448,846.00","$451,440.00","$605,926.25","$798,569.00"
3699,SPORTS SPIRITS AND STEAKS,178 MAIN STREET,N READING,"$447,634.00","$472,570.00","$447,634.00","$723,849.00","$619,460.50"
3700,STOP & SHOP #2406,265 MAIN ST,N READING,"$838,092.25","$351,004.00","$838,092.25","$851,057.75","$894,077.50"
3701,UXBRIDGE FOOD MART,2 WEST HARTFORD AVE,N UXBRIDGE,"$759,441.75","$914,181.25","$759,441.75","$828,957.50","$754,624.00"
3702,UXBRIDGE PROGRESSIVE CLB,18 WHITIN STREET,N UXBRIDGE,"$333,395.00","$208,507.00","$333,395.00","$344,497.00","$293,278.25"
3703,7-ELEVEN 37411,11 SEA ST,N WEYMOUTH,"$2,067,946.50","$2,040,919.50","$2,067,946.50","$1,823,603.75","$272,277.75"
3704,7-ELEVEN 37411,11 SEA ST,N WEYMOUTH,"$2,067,946.50","$2,040,919.50","$2,067,946.50","$1,823,603.75","$1,899,178.25"
3705,CATHAY CENTER RESTAURANT,203 BRIDGE ST,N WEYMOUTH,"$947,925.25","$888,711.00","$947,925.25","$1,006,898.50","$949,789.50"
3706,MACY'S BEACHWAY LIQUORS,701 BRIDGE ST,N WEYMOUTH,"$312,961.00","$387,869.75","$312,961.00","$304,506.50","$265,022.75"
3707,METRO CONVENIENCE,230 BRIDGE ST,N WEYMOUTH,"$1,625,991.75","$2,406,497.50","$1,625,991.75","$1,504,293.75","$1,110,552.25"
3708,QUICK 6 DISCOUNT LIQUORS,321 BRIDGE ST,N WEYMOUTH,"$256,605.75","$326,946.25","$256,605.75","$350,016.00","$311,397.25"
3709,THE CLIFF HANGER,220 BRIDGE ST,N WEYMOUTH,"$150,297.50","$105,904.00","$150,297.50","$191,924.00","$198,799.00"
3710,RICHLAND CONVENIENCE STORE,332 NAHANT ROAD,NAHANT,"$1,122,808.50","$969,100.75","$1,122,808.50","$1,014,114.50","$728,007.25"
3711,SEASIDE VARIETY,141 NAHANT RD,NAHANT,"$845,528.25","$1,166,880.00","$845,528.25","$698,577.25","$670,902.00"
3712,TIDES AT NAHANT,2B WILSON RD,NAHANT,"$1,269,553.25","$753,801.75","$1,269,553.25","$1,116,652.00","$1,145,162.25"
3713,AIRPORT GAS STATION,10 AIRPORT RD,NANTUCKET,"$1,025,375.50","$1,073,013.00","$1,025,375.50","$664,809.25","$523,092.00"
3714,CAROLINA'S MINI MARKET,3 HANNABEE LN,NANTUCKET,"$1,024,683.25","$1,121,443.25","$1,024,683.25","$790,948.25","$678,708.50"
3715,CUMBERLAND #2280,115 ORANGE ST,NANTUCKET,"$1,510,440.00","$1,876,047.50","$1,510,440.00","$782,339.25","$401,001.25"
3716,CUMBERLAND #6736,30 SPARKS AVE,NANTUCKET,"$1,287,557.00","$1,300,617.25","$1,287,557.00","$920,149.25","$869,424.25"
3717,DAN'S PHARMACY,110 PLEASANT ST,NANTUCKET,"$228,802.50","$501,805.25","$228,802.50","$183,906.75","$181,258.50"
3718,HATCHS PACKAGE,133 ORANGE ST,NANTUCKET,"$472,966.50","$347,579.25","$472,966.50","$399,819.25","$413,315.25"
3719,ISLAND PHARMACY,122 PLEASANT STREET,NANTUCKET,"$907,006.50","$53,130.00","$907,006.50","$646,134.25","$591,158.75"
3720,ISLAND VARIETY,59 OLD SOUTH ROAD,NANTUCKET,"$83,903.25","$91,311.75","$83,903.25","$135,139.25","$138,022.25"
3721,MID ISLAND FUEL,41 SPARKS AVE,NANTUCKET,"$632,026.75","$753,993.00","$632,026.75","$299,388.75","$224,789.00"
3722,OLD SOUTH LIQUORS,2 LOVERS LANE,NANTUCKET,"$293,985.00","$273,754.00","$293,985.00","$229,452.00","$203,585.50"
3723,OLD SOUTH MARKET,57 OLD SOUTH RD,NANTUCKET,"$781,002.00","$700,979.75","$781,002.00","$566,814.25","$566,913.75"
3724,STOP & SHOP #2413,9 SALEM ST,NANTUCKET,"$479,868.75","$378,657.50","$479,868.75","$431,999.25","$393,313.75"
3725,STOP & SHOP #2415,31 SPARKS AVE,NANTUCKET,"$1,120,813.75","$1,278,429.25","$1,120,813.75","$927,298.00","$871,848.25"
3726,THE ISLANDER,15 OLD SOUTH RD,NANTUCKET,"$47,099.75","$34,007.25","$47,099.75","$32,160.75","$37,795.25"
3727,THE MUSE,44 SURFSIDE RD,NANTUCKET,"$1,580,956.00","$1,369,388.00","$1,580,956.00","$1,572,574.50","$1,344,602.50"
3728,VFW POST 8608,22 NEW SOUTH ROAD,NANTUCKET,"$308,636.50","$269,150.00","$308,636.50","$123,052.50","$77,684.00"
3729,7-ELEVEN 34390-A,172 N MAIN ST,NATICK,"$840,114.25","$1,028,076.00","$840,114.25","$754,097.00","$705,046.50"
3730,7-ELEVEN 37418,54-58 E CENTRAL ST,NATICK,"$1,656,640.00","$1,932,906.50","$1,656,640.00","$1,473,825.25","$408,831.50"
3731,7-ELEVEN 37418,54-58 E CENTRAL ST,NATICK,"$1,656,640.00","$1,932,906.50","$1,656,640.00","$1,473,825.25","$866,801.75"
3732,ALLTOWN #859,117 6 EAST MASS PIKE,NATICK,"$596,148.00","$548,521.25","$596,148.00","$486,732.25","$488,570.25"
3733,AMVETS POST #79,79 SUPERIOR DRIVE,NATICK,"$666,338.25","$309,292.25","$666,338.25","$819,445.50","$893,171.00"
3734,AUSTIN LIQUORS TOO,212 N MAIN STREET,NATICK,"$58,199.25","$42,959.00","$58,199.25","$45,918.75","$52,451.00"
3735,D & L WINE COMPANY,4 SOUTH AVENUE,NATICK,"$72,274.50","$62,180.50","$72,274.50","$66,690.25","$28,268.50"
3736,DAILY MART,2 MILL ST,NATICK,"$2,665,833.00","$3,758,719.00","$2,665,833.00","$2,536,071.50","$2,413,972.00"
3737,HAPPY CORNER,1245 WORCESTER ST,NATICK,"$1,175,116.75","$17,936.00","$1,175,116.75","$1,203,923.50","$1,337,031.75"
3738,J CONVENIENCE STORE,229 NORTH MAIN ST,NATICK,"$3,250,673.25","$2,495,688.75","$3,250,673.25","$3,471,769.00","$2,125,168.50"
3739,J&D CONVENIENT,179 W CENTRAL ST,NATICK,"$2,321,691.25","$2,328,412.00","$2,321,691.25","$2,279,360.75","$2,300,524.75"
3740,NATICK LODGE #1425,95 SPEEN ST,NATICK,"$223,534.75","$86,464.75","$223,534.75","$190,657.50","$171,946.25"
3741,NATICK VFW POST 1274,113 WEST CENTRAL ST,NATICK,"$264,588.50","$157,844.50","$264,588.50","$262,605.75","$233,643.00"
3742,NATICK WINE & SPIRITS,7 WATSON ST,NATICK,"$141,273.25","$188,834.50","$141,273.25","$126,208.75","$115,926.25"
3743,ROCHE BROS #105,150 WEST CENTRAL ST,NATICK,"$642,503.50","$541,979.50","$642,503.50","$680,122.25","$740,234.25"
3744,SEVEN DAYS,251 WEST CENTRAL ST,NATICK,"$380,919.25","$40,901.75","$380,919.25","$412,752.25","$449,013.50"
3745,SPEEDWAY #2434,230 WORCESTER RD,NATICK,"$319,817.00","$362,718.00","$319,817.00","$349,355.25","$301,223.50"
3746,SPEEDWAY #2471,194 W CENTRAL ST,NATICK,"$35,659.75","$55,365.50","$35,659.75","$39,521.50","$47,218.25"
3747,SPEEDWAY #2507,207 WORCESTER ST,NATICK,"$234,191.50","$269,234.25","$234,191.50","$230,280.50","$190,082.50"
3748,STOP & SHOP #006,829 WORCESTER ST,NATICK,"$679,958.00","$638,905.00","$679,958.00","$700,674.25","$735,752.75"
3749,WELL COME ASIAN MARKET,4 WETHERSFIELD RD,NATICK,"$67,086.00","$74,828.75","$67,086.00","$53,897.25","$23,324.50"
3750,7-ELEVEN 32485,845 HIGHLAND AVE,NEEDHAM,"$2,291,051.00","$2,106,881.50","$2,291,051.00","$2,317,904.75","$153,235.25"
3751,7-ELEVEN 32485,845 HIGHLAND AVE,NEEDHAM,"$2,291,051.00","$2,106,881.50","$2,291,051.00","$2,317,904.75","$1,688,927.25"
3752,GREAT PLAIN AVE MOBIL,1111 GREAT PLAIN AVE,NEEDHAM,"$1,053,934.50","$1,113,981.75","$1,053,934.50","$752,296.75","$597,504.25"
3753,ROCHE BROS #102,377 CHESTNUT ST,NEEDHAM,"$295,113.75","$312,853.50","$295,113.75","$256,947.75","$243,574.00"
3754,SPEEDWAY #2472,207 HIGHLAND AVE,NEEDHAM,"$516,658.50","$672,423.25","$516,658.50","$478,035.25","$467,376.50"
3755,SUDBURY FARMS #209,1177 HIGHLAND AVE,NEEDHAM,"$595,719.00","$488,604.50","$595,719.00","$601,665.75","$577,165.50"
3756,VILLAGE CLUB,83 MORTON STREET,NEEDHAM,"$199,909.50","$115,021.00","$199,909.50","$183,933.50","$195,452.50"
3757,7-ELEVEN 32432-D,489 ROCKDALE  AVE,NEW BEDFORD,"$1,142,873.50","$563,823.75","$1,142,873.50","$1,227,236.50","$1,094,897.25"
3758,7-ELEVEN 32439-C,1389 PHILLIPS RD,NEW BEDFORD,"$80,635.25","$773,805.75","$80,635.25","$748,008.00","$772,119.25"
3759,7-ELEVEN 32439-C,1389 PHILLIPS RD,NEW BEDFORD,"$80,635.25","$773,805.75","$634,928.75","$748,008.00","$772,119.25"
3760,7-ELEVEN 32439-C,1389 PHILLIPS RD,NEW BEDFORD,"$634,928.75","$773,805.75","$80,635.25","$748,008.00","$772,119.25"
3761,7-ELEVEN 32439-C,1389 PHILLIPS RD,NEW BEDFORD,"$634,928.75","$773,805.75","$634,928.75","$748,008.00","$772,119.25"
3762,7-ELEVEN 33065-B,1024 COVE RD,NEW BEDFORD,"$622,695.75","$742,923.00","$622,695.75","$572,969.75","$547,254.00"
3763,7-ELEVEN 33232-B,45 COGGESHELL ST,NEW BEDFORD,"$1,293,411.25","$1,444,952.75","$1,293,411.25","$1,242,916.25","$1,182,228.25"
3764,AMERICAS MARKET,1502 ACUSHNET AVE,NEW BEDFORD,"$500,297.00","$719,214.25","$500,297.00","$438,222.25","$351,569.75"
3765,BARRYS FINE WINE & SPIRITS,573 MILL ST,NEW BEDFORD,"$436,601.50","$444,220.75","$436,601.50","$430,984.25","$542,694.00"
3766,BILTMORE PACKAGE,650 PLEASANT ST,NEW BEDFORD,"$1,037,963.25","$276,900.00","$1,037,963.25","$968,287.25","$944,774.00"
3767,BIZARRO FOODMART,554 KEMPTON STREET,NEW BEDFORD,"$310,290.00","$448,239.00","$310,290.00","$245,084.50","$177,529.50"
3768,BOM APETITE,703 BELLEVILLE AVE,NEW BEDFORD,"$468,097.50","$467,374.50","$468,097.50","$549,315.50","$445,330.75"
3769,BRENNAN'S SMOKE SHOP,189 POPES ISLAND,NEW BEDFORD,"$43,963.00","$55,521.00","$43,963.00","$46,854.25",$101.00
3770,BROOKLAWN LIQUORS,496 ASHLEY BLVD,NEW BEDFORD,"$622,124.75","$828,809.00","$622,124.75","$561,577.75","$598,263.75"
3771,CAFE MIMO,1528 ACUSHNET AVE,NEW BEDFORD,"$726,406.00","$437,665.50","$726,406.00","$718,618.00","$710,890.00"
3772,CAFE MONTE CARLO,1478 ACUSNET AVE,NEW BEDFORD,"$571,238.75","$10,389.00","$571,238.75","$581,660.25","$566,871.75"
3773,CAFE ROMA,3371 ACUSHNET AVENUE,NEW BEDFORD,"$76,686.00","$37,265.00","$76,686.00","$72,942.75","$64,808.25"
3774,CAFE SAN PAULO,431-433 BOLTON ST,NEW BEDFORD,"$1,163,067.50","$1,188,127.00","$1,163,067.50","$1,244,695.25","$1,017,941.75"
3775,CARVALHOS VARIETY STORE,1700 ACUSHNET AVENUE,NEW BEDFORD,"$231,979.50","$446,776.50","$231,979.50","$233,082.00","$214,580.00"
3776,CENTRAL LIQUORS,1847 ACUSHNET AVE,NEW BEDFORD,"$164,881.25","$273,303.50","$164,881.25","$180,635.50","$189,393.50"
3777,CHARLIE CONVENIENCE,165 HEMLOCK ST,NEW BEDFORD,"$576,923.50","$810,108.25","$576,923.50","$555,307.75","$552,098.75"
3778,CHUCK'S LIQUORS,60 NAUSET ST,NEW BEDFORD,"$599,823.25","$735,626.00","$599,823.25","$557,197.25","$588,682.00"
3779,CIDADE'S SERVICE STATION,57 RODNEY FRENCH BLV,NEW BEDFORD,"$139,623.00","$231,285.50","$139,623.00","$156,060.50","$170,387.25"
3780,CINDERELLAS KITCHEN,769 ASHLEY BLVD,NEW BEDFORD,"$318,292.75","$243,700.00","$318,292.75","$400,456.50","$369,859.50"
3781,CLUB SPORT MADEIRENSE,1626 ACUSHNET AVE,NEW BEDFORD,"$504,941.75","$61,536.00","$504,941.75","$534,472.00","$460,329.25"
3782,COGGESHALL PETRO,171 COGGESHALL ST,NEW BEDFORD,"$767,030.00","$1,042,821.75","$767,030.00","$717,578.25","$758,926.50"
3783,CONTINENTAL MARKET,243 SAWYER ST,NEW BEDFORD,"$261,564.75","$378,645.75","$261,564.75","$243,759.00","$229,380.50"
3784,CONVENIENT MART,117 DURFEE STREET,NEW BEDFORD,"$565,284.50","$191,345.50","$565,284.50","$615,655.75","$107,971.25"
3785,CORNER STOP,1203 CHURCH STREET,NEW BEDFORD,"$727,098.25","$804,548.25","$727,098.25","$664,266.75","$546,102.50"
3786,COSTA'S CASH EXPRESS,46 COUNTY ST,NEW BEDFORD,"$474,360.75","$729,420.50","$474,360.75","$575,709.25","$561,604.75"
3787,COSTA'S CASH EXPRESS,211 UNION ST,NEW BEDFORD,"$660,757.50","$421,191.00","$660,757.50","$727,337.25","$698,287.75"
3788,COSTAS MINI MART,138 BELLEVILLE ROAD,NEW BEDFORD,"$3,769,016.50","$3,265,114.25","$3,769,016.50","$4,767,572.50","$2,576,134.75"
3789,COSTA'S SUNOCO MINI MART,397 SAWYER ST,NEW BEDFORD,"$1,433,676.75","$1,302,517.75","$1,433,676.75","$1,293,157.25","$1,089,026.00"
3790,COUNTY GENERAL CONVENIENCE,518 COUNTY STREET,NEW BEDFORD,"$759,593.25","$991,319.00","$759,593.25","$583,966.50","$465,468.25"
3791,COUNTY STREET CONVENIENCE,133 COUNTY ST,NEW BEDFORD,"$480,071.25","$1,063,899.50","$480,071.25","$427,888.75","$409,898.25"
3792,COUNTY STREET LIQUOR STORE,113 COUNTY STREET,NEW BEDFORD,"$170,549.00","$218,120.75","$170,549.00","$170,090.50","$196,575.00"
3793,CUMBERLAND #2275,757 ASHLEY BLVD,NEW BEDFORD,"$1,010,607.25","$1,045,891.50","$1,010,607.25","$933,275.75","$802,409.50"
3794,CUMBERLAND #2277,810 ROCKDALE AVE,NEW BEDFORD,"$1,087,242.75","$1,234,517.25","$1,087,242.75","$1,015,262.50","$1,047,155.00"
3795,CUMBERLAND #2287,2012 ACUSHNET AVE,NEW BEDFORD,"$554,979.75","$606,400.25","$554,979.75","$539,799.75","$520,703.25"
3796,CUMBERLAND #6745,943 SHAWMUT AVE,NEW BEDFORD,"$946,387.75","$958,956.00","$946,387.75","$934,391.50","$885,132.50"
3797,D & S MINI MART,158 LIBERTY STREET,NEW BEDFORD,"$142,013.25","$167,320.00","$142,013.25","$116,120.25","$118,289.75"
3798,D&S MINI MART II,478 KEMPTON STREET,NEW BEDFORD,"$356,319.75","$583,519.25","$356,319.75","$439,164.50","$444,310.25"
3799,DANNYS SEAFOOD REST,574 NO FRONT ST,NEW BEDFORD,"$499,436.00","$371,144.00","$499,436.00","$530,136.75","$411,975.50"
3800,DEMELLO'S MARKET INC,1275 COVE RD,NEW BEDFORD,"$409,251.75","$336,297.50","$409,251.75","$435,839.00","$444,605.00"
3801,DESI FOOD MART,714 ASHLEY BLVD,NEW BEDFORD,"$332,200.75","$377,248.75","$332,200.75","$338,449.00","$345,585.25"
