,Agent Name,Agent Address,Agent City,FY 21  Net Sales,FY 20 Net Sales,FY 19 Net Sales,FY 18 Net Sales,FY 17 Net Sales
102,SPEEDWAY #2448,100 BRIGHTON AVE,ALLSTON,"$412,027.25","$332,632.25","$412,027.25","$337,972.00","$341,117.25"
103,SPEEDWAY #2493,219 CAMBRIDGE ST,ALLSTON,"$858,931.50","$849,175.50","$858,931.50","$762,512.50","$634,228.50"
104,STAR MKT 3588,1065 COMM AVE,ALLSTON,"$583,912.25","$634,399.75","$583,912.25","$692,119.00","$458,211.00"
105,START WIRELESS,483 CAMBRIDGE ST,ALLSTON,"$53,313.50",$970.00,"$53,313.50","$42,112.00","$37,984.75"
106,STOP & SHOP #089,60 EVERETT ST,ALLSTON,"$1,169,770.75","$935,587.00","$1,169,770.75","$1,308,291.00","$1,173,899.25"
107,SUNRISE MARKET,152 - 154 BRIGHTON AVE,ALLSTON,"$988,519.25","$894,359.75","$988,519.25","$637,461.50","$600,738.50"
108,VAN'S MINI MART,109 FRANKLIN ST,ALLSTON,"$1,350,548.25","$1,597,763.50","$1,350,548.25","$1,289,271.50","$1,410,884.25"
109,A L PRIME ENERGY,63 ELM ST,AMESBURY,"$305,674.50","$301,509.00","$305,674.50","$237,357.50","$204,339.00"
110,AMESBURY ONE STOP,108 MACY ST,AMESBURY,"$433,600.50","$376,320.25","$433,600.50","$296,651.25","$174,058.75"
111,AMESBURY ONE STOP II,23  ROCKY HILL RD,AMESBURY,"$118,425.75","$62,042.75","$118,425.75","$139,266.25","$145,015.50"
112,CIRCLE K #7501,24 ROCKY HILL RD,AMESBURY,"$955,504.00","$819,931.50","$955,504.00","$986,006.25","$820,211.75"
113,CUMBERLAND #6661,132 ELM ST,AMESBURY,"$948,615.50","$821,239.00","$948,615.50","$984,341.50","$989,044.75"
114,CUMBERLAND #6669,241 MAIN ST,AMESBURY,"$1,384,270.50","$1,399,962.00","$1,384,270.50","$1,279,538.00","$1,275,731.25"
115,FELCO MINI MART,60 HAVERHILL RD,AMESBURY,"$482,572.75","$721,302.50","$482,572.75","$454,685.50","$397,827.75"
116,LEARYS FINE WINES,100 MACY STREET,AMESBURY,"$27,902.00","$15,211.25","$27,902.00","$20,087.00","$20,905.25"
117,RICHDALE,65 FRIEND STREET,AMESBURY,"$1,540,794.50","$2,165,752.25","$1,540,794.50","$1,498,202.25","$1,503,042.00"
118,STOP & SHOP #499,100 MACY STREET,AMESBURY,"$985,748.00","$630,359.75","$985,748.00","$920,022.50","$853,220.75"
